OGG,gene_Mphar,gene_Amel,gene_Dmel_FLYBASE,uniprot
EOG88PP66,LOC105832070,LOC100578309,FBpp0073505,CG32651
EOG8BK6RR,LOC105832071,LOC551450,FBpp0086020,CG10933
EOG8K9D0F,LOC105837660,LOC724331,FBpp0080638,Pre-mRNA-splicing factor CWC22 homolog
EOG8N061S,LOC105830203,LOC408624,FBpp0303010,"CG34126, isoform F"
EOG8HMKZS,LOC105831557,LOC727419,FBpp0076478,LD45688p
EOG815J14,LOC105831558,LOC550716,FBpp0073966,Clathrin heavy chain
EOG87H7DF,LOC105831560,LOC725884,FBpp0086252,60S acidic ribosomal protein P2
EOG8CJX3X,LOC105832677,LOC550706,FBpp0301190,Phosphorylase kinase subunit alpha
EOG8R25H1,LOC105832680,LOC412473,FBpp0078635,"39S ribosomal protein L28, mitochondrial"
EOG8PVQKQ,LOC105837791,LOC102655618,FBpp0070336,Eukaryotic initiation factor eIF2B epsilon subunit
EOG85TF96,LOC105837790,LOC413784,FBpp0071431,"Rabphilin, isoform C"
EOG8KH4HD,LOC105839718,LOC412610,FBpp0073982,CG11679
EOG8KH4HD,LOC105839718,LOC412610,FBpp0290194,"CG32495, isoform E"
EOG8KH4HD,LOC105839718,LOC412610,FBpp0290197,"CG32495, isoform E"
EOG87M3KK,LOC105829477,LOC551574,FBpp0078330,"CG12162, isoform B"
EOG8XWHK8,LOC105829475,LOC724901,FBpp0308525,AT08049p
EOG8XWHK8,LOC105829475,LOC724901,FBpp0085535,CG13423
EOG89KHCX,LOC105829476,LOC725638,FBpp0071188,CG12123
EOG8WDG13,LOC105837256,LOC412016,FBpp0084165,CG31111
EOG80ZSK6,LOC105828754,LOC412017,FBpp0077104,IP13216p
EOG8QC2TC,LOC105834320,LOC727399,FBpp0079420,Protein numb
EOG8JDJTP,LOC105839495,LOC725982,FBpp0079409,Vacuolar protein sorting-associated protein 54
EOG88WDP1,LOC105833900,LOC411968,FBpp0112408,AT19737p
EOG8TMSQ9,LOC105833899,LOC725922,FBpp0079580,"CG4995, isoform C"
EOG86X0WJ,LOC105834906,LOC410757,FBpp0099478,Circadian locomoter output cycles protein kaput
EOG8HB07N,LOC105834902,LOC410758,FBpp0307871,Protein muscleblind
EOG8GTN1Z,LOC105837254,LOC409780,FBpp0079926,"Arrest, isoform H"
EOG8GTN1Z,LOC105837254,LOC409780,FBpp0293396,"Bruno-2, isoform H"
EOG8TXDCN,LOC105831356,LOC408618,FBpp0074042,Furin-like protease 2 (3.4.21.75)
EOG8HB076,LOC105836969,LOC725745,FBpp0070181,CG3704
EOG87M3KG,LOC105839243,LOC552676,FBpp0073906,SD19562p
EOG84XM52,LOC105839665,LOC725574,FBpp0303103,LIM/homeobox protein Awh
EOG8NGJ7S,LOC105828750,LOC413950,FBpp0083238,Phagocyte signaling-impaired protein
EOG8HX6PQ,LOC105838239,LOC725418,FBpp0080967,RH07841p
EOG8QFZ25,LOC105833068,LOC552648,FBpp0081087,CG2656
EOG8WHB7P,LOC105833067,LOC725317,FBpp0070864,CG3815
EOG81ZGZG,LOC105833071,LOC414037,FBpp0074394,Protein Wnt-5
EOG8TTJ6G,LOC105830382,LOC552602,FBpp0070643,"CHOp24, isoform A"
EOG8PZKV9,LOC105830380,LOC414038,FBpp0077489,Derlin-1
EOG8283NT,LOC105830636,LOC724578,FBpp0072106,CG4324
EOG8ZPGGH,LOC105832956,LOC409584,FBpp0085836,"GDI interacting protein 3, isoform B"
EOG8PP067,LOC105830590,LOC552083,FBpp0077396,Cwc25
EOG84QVMR,LOC105830589,LOC107963991,FBpp0307178,Phosphorylase kinase subunit beta
EOG898WPD,LOC105831382,LOC551909,FBpp0291330,"Drongo, isoform I"
EOG8B2VKF,LOC105839296,LOC551842,FBpp0308975,CG13344
EOG8SBGMX,LOC105830397,LOC107966055,FBpp0086385,CG8441
EOG8HHQP7,LOC105830396,LOC100577369,FBpp0070135,EG:34F3.4 protein
EOG8VX3TX,LOC105838476,LOC409290,FBpp0076359,60S ribosomal protein L14
EOG8X3JNP,LOC105827788,LOC100578513,FBpp0078634,Protein KBP homolog
EOG8CG1WT,LOC105831570,LOC413244,FBpp0306928,"CG1116, isoform B"
EOG81VMQM,LOC105831567,LOC100577342,FBpp0081462,"Salivary gland-expressed bHLH, isoform B"
EOG8SBGKV,LOC105837688,LOC724902,FBpp0291243,NGFI-A-binding protein homolog
EOG8CNSBV,LOC105841093,LOC414017,FBpp0072899,"Girdin, isoform C"
EOG854BKV,LOC105838179,LOC411799,FBpp0074395,N-acetylgalactosaminyltransferase 7 (2.4.1.-)
EOG88GXRH,LOC105830390,LOC724795,FBpp0087097,WAS protein family homolog 1
EOG8NS51W,LOC105833253,LOC102654159,FBpp0081306,CG11035
EOG8MKQ4R,LOC105834733,LOC551321,FBpp0078415,LD10028p
EOG8XH1MK,LOC105829689,LOC412319,FBpp0073366,Rhomboid-4
EOG8M3BZ1,LOC105831564,LOC408621,FBpp0086399,CG8397
EOG81ZH0R,LOC105831277,LOC408620,FBpp0078402,CG2931
EOG88WDR2,LOC105838411,LOC724233,FBpp0076207,40S ribosomal protein S17
EOG8G7DKX,LOC105830988,LOC410751,FBpp0297922,CG18641
EOG86Q8DS,LOC105830989,LOC410752,FBpp0077449,RH74545p
EOG841S0R,LOC105838638,LOC408614,FBpp0100150,"7B2, isoform B"
EOG8TTJ5W,LOC105828412,LOC551202,FBpp0078962,Osm-6 ortholog
EOG8RV4CM,LOC105828263,LOC409517,FBpp0075508,26-29kD-proteinase
EOG8DBW42,LOC105838658,LOC107965891,FBpp0080512,"CG6115, isoform A"
EOG8BK6SD,LOC105836634,LOC551383,FBpp0071198,LD18882p
EOG8C5F6H,LOC105829356,LOC410754,FBpp0074464,Post-GPI attachment to proteins factor 2-like
EOG8C5F6H,LOC105829356,LOC410754,FBpp0077703,Post-GPI attachment to proteins factor 2
EOG8TQNXJ,LOC105835835,LOC408616,FBpp0301994,Protein scalloped
EOG8RV4C3,LOC105835837,LOC412282,FBpp0077251,SD07726p
EOG82FV5F,LOC105828563,LOC725816,FBpp0080732,RE64786p
EOG82FV5F,LOC105828563,LOC725816,FBpp0080731,CG10623 protein
EOG869SHT,LOC105835834,LOC551411,FBpp0080943,LD03247p
EOG883FRD,LOC105828561,LOC413303,FBpp0291358,"PDGF-and VEGF-receptor related, isoform G"
EOG873RCP,LOC105828562,LOC727479,FBpp0077878,RE32485p
EOG8QFZ1P,LOC105833603,LOC551819,FBpp0071136,TRAF6
EOG8X9964,LOC105828866,LOC102656812,FBpp0079218,Polyprenol reductase (1.3.1.94)
EOG8X9964,LOC105838316,LOC102656812,FBpp0079218,Polyprenol reductase (1.3.1.94)
EOG85X9HZ,LOC105828864,LOC412141,FBpp0079233,GH11935p
EOG8Q2G2J,LOC105836934,LOC726088,FBpp0308836,Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit
EOG8VMH2S,LOC105836189,LOC409468,FBpp0288559,"CG9850, isoform C"
EOG8PK3WW,LOC105833250,LOC410043,FBpp0087939,Ornithine decarboxylase 1 (4.1.1.17)
EOG8PK3WW,LOC105833250,LOC410043,FBpp0087940,Ornithine decarboxylase 2 (4.1.1.17)
EOG8Q86M9,LOC105829913,LOC413735,FBpp0083729,GH03051p
EOG8CJX6R,LOC105829914,LOC726221,FBpp0072000,UPF0136 membrane protein CG5532
EOG89GN4K,LOC105828450,LOC412523,FBpp0077459,Out at first protein
EOG8322KM,LOC105833307,LOC724328,FBpp0081159,CG1105
EOG8322KM,LOC105833307,LOC724328,FBpp0304081,CG2993
EOG8322KM,LOC105833307,LOC724328,FBpp0081273,CG18745
EOG8322KM,LOC105833307,LOC724328,FBpp0081272,RE53217p
EOG8322KM,LOC105833307,LOC724328,FBpp0271763,CG18747
EOG8322KM,LOC105833307,LOC724328,FBpp0112257,"CR18748, isoform C"
EOG81G4RJ,LOC105839158,LOC409957,FBpp0081097,RE67111p
EOG8MPKCC,LOC105832732,LOC724234,FBpp0086267,CG8311
EOG883FRM,LOC105832731,LOC551154,FBpp0087760,Glucose-6-phosphate isomerase (5.3.1.9)
EOG84J477,LOC105828264,LOC724144,FBpp0071209,Protein enhancer of rudimentary
EOG8M93DH,LOC105829918,LOC412480,FBpp0080052,Ribosomal RNA processing protein 1 homolog
EOG8SJ73T,LOC105836328,LOC727087,FBpp0078996,"X16, isoform B"
EOG8DNGRT,LOC105836331,LOC727079,FBpp0079315,RE08678p
EOG8GJ1B8,LOC105839566,LOC552052,FBpp0084689,Zinc finger protein 330 homolog
EOG8B8M24,LOC105830085,LOC552001,FBpp0271784,"Csat, isoform B"
EOG8S7MCS,LOC105830586,LOC551974,FBpp0077125,Dim1
EOG844N7R,LOC105830584,LOC413868,FBpp0075764,60S ribosomal protein L10a-2
EOG8Z648N,LOC105835455,LOC409527,FBpp0290220,CG4041
EOG883FRW,LOC105836144,LOC724455,FBpp0308971,"CG16721, isoform A"
EOG8KWMDM,LOC105836143,LOC412546,FBpp0070773,Regulator of telomere elongation helicase 1 homolog (3.6.4.12)
EOG8CG1WC,LOC105834476,LOC409520,FBpp0078734,Glucosamine-6-phosphate isomerase (3.5.99.6)
EOG8CG1WC,LOC105834476,LOC409520,FBpp0079209,Metallophosphoesterase 1 homolog (3.1.-.-)
EOG86DNR3,LOC105832685,LOC724585,FBpp0074437,CG7453
EOG8576VF,LOC105832683,LOC409360,FBpp0073618,"CG1998, isoform B"
EOG82RFWG,LOC105839227,LOC410071,FBpp0074927,GH06744p
EOG82RFWG,LOC105839227,LOC410071,FBpp0072877,CG32487
EOG82RFWG,LOC105839227,LOC410071,FBpp0072878,"CG32488, isoform A"
EOG8R51RG,LOC105835793,LOC725040,FBpp0076533,"Transmembrane protein 70 homolog, mitochondrial"
EOG8WHB73,LOC105835794,LOC414022,FBpp0075653,"CG10984, isoform B"
EOG85QK1T,LOC105836281,LOC412103,FBpp0078925,Transport and Golgi organization protein 1
EOG8G4JCB,LOC105836286,LOC726119,FBpp0070930,Inactive
EOG8M3BWK,LOC105830610,LOC552187,FBpp0304518,KEK1
EOG8M3BWK,LOC105830610,LOC552187,FBpp0079836,KEK2
EOG8M3BWK,LOC105833134,LOC552187,FBpp0304518,KEK1
EOG8M3BWK,LOC105833134,LOC552187,FBpp0079836,KEK2
EOG8VMH39,LOC105834652,LOC725945,FBpp0083051,CG7691
EOG8QZ96Z,LOC105836696,LOC552294,FBpp0086222,LD35640p
EOG8DRC0K,LOC105836698,LOC412287,FBpp0079468,FK506-binding protein 59 (5.2.1.8)
EOG8TXDFG,LOC105838630,LOC552038,FBpp0072145,Synaptosomal-associated protein
EOG8961CX,LOC105833251,LOC410749,FBpp0089396,RNA-binding protein 4F
EOG8FR2CJ,LOC105832045,LOC100576291,FBpp0311302,"Cyclic nucleotide-gated ion channel-like, isoform E"
EOG8K3NHW,LOC105832215,LOC550785,FBpp0084373,Fructose-bisphosphate aldolase (4.1.2.13)
EOG8K3NHW,LOC105832215,LOC550785,FBpp0084378,CG5432
EOG8WM6J8,LOC105838188,LOC725419,FBpp0083928,CG18428
EOG805TP3,LOC105831211,LOC725345,FBpp0078328,CG14669
EOG8VT7JM,LOC105831208,Or2,FBpp0078438,Odorant receptor coreceptor
EOG8QRJR4,LOC105831214,LOC100576547,FBpp0081114,"Glucose dehydrogenase [FAD, quinone] (1.1.5.9)"
EOG8P2RQN,LOC105840568,LOC411408,FBpp0073874,"Phosphatidylinositol synthase, isoform B"
EOG8Z90HT,LOC105832008,LOC409383,FBpp0087585,SD03462p
EOG864218,LOC105832011,LOC412189,FBpp0071589,LD37882p2
EOG89PCM2,LOC105838611,LOC412190,FBpp0080997,RE27528p
EOG8M3BWP,LOC105838609,LOC411794,FBpp0085398,LD13864p
EOG8W100T,LOC105838608,LOC100576321,FBpp0086102,"Misexpression suppressor of ras 4, isoform A"
EOG87SV1Z,LOC105838612,Trxr-1,FBpp0071116,"Thioredoxin reductase 1, mitochondrial (1.8.1.9)"
EOG87SV1Z,LOC105838612,Trxr-1,FBpp0078166,"Thioredoxin reductase 2, mitochondrial (1.8.1.9)"
EOG847HH4,LOC105838614,LOC410033,FBpp0071293,BCL7-like
EOG8XSNCH,LOC105835303,LOC724280,FBpp0085448,"CG15908, isoform A"
EOG8TMSP4,LOC105836672,LOC409417,FBpp0072708,"CG12099, isoform A"
EOG8KPVXX,LOC105832387,Dat,FBpp0303037,Transporter
EOG8KPVXX,LOC105832387,Dat,FBpp0088910,Transporter
EOG87PZV0,LOC105828485,LOC413813,FBpp0076200,26S proteasome regulatory complex subunit p37A
EOG87PZV0,LOC105828485,LOC413813,FBpp0073471,AT10439p
EOG8P8H70,LOC105837706,LOC551384,FBpp0081333,Autophagy-related protein 13 homolog
EOG82FV5G,LOC105830156,LOC410741,FBpp0086995,"CG8785, isoform A"
EOG82FV5G,LOC105830156,LOC410741,FBpp0072724,CG1139
EOG82FV5G,LOC105830156,LOC410741,FBpp0075931,"CG7888, isoform A"
EOG82FV5G,LOC105830156,LOC410741,FBpp0302706,"CG43693, isoform E"
EOG83BP9C,LOC105833354,LOC408609,FBpp0086329,Fidipidine
EOG8GTN1J,LOC105838151,LOC107964213,FBpp0290715,GH28523p
EOG8GTN1J,LOC105838151,LOC107964213,FBpp0070723,Cyclin-dependent kinase 7
EOG8Z3826,LOC105837411,LOC726243,FBpp0303248,Flotillin-2
EOG8JT1SM,LOC105833807,LOC410745,FBpp0073804,CG12539
EOG8JT1SM,LOC105833807,LOC410745,FBpp0073803,CG9522
EOG8JT1SM,LOC105833807,LOC410745,FBpp0073802,CG9521
EOG8JT1SM,LOC105833807,LOC410745,FBpp0073801,CG9519
EOG8JT1SM,LOC105833807,LOC410745,FBpp0073800,RE11240p
EOG8JT1SM,LOC105833807,LOC410745,FBpp0073797,RE61267p
EOG8JT1SM,LOC105833807,LOC410745,FBpp0073793,CG12398
EOG8JT1SM,LOC105833807,LOC410745,FBpp0073791,RE09982p
EOG8JT1SM,LOC105833807,LOC410745,FBpp0084360,CG6142
EOG8JT1SM,LOC105833807,LOC410745,FBpp0310796,CG45065
EOG8X3JND,LOC105834908,LOC725775,FBpp0075559,CG10710
EOG8DJMKW,LOC105837827,LOC725607,FBpp0303413,"CG18292, isoform B"
EOG8MW9SZ,LOC105837826,LOC413069,FBpp0086939,CG8594
EOG8PG7NV,LOC105837820,LOC413068,FBpp0080628,RE26667p
EOG8PCCD5,LOC105837817,LOC725346,FBpp0080247,Transporter
EOG8PCCD5,LOC105837817,LOC725346,FBpp0070763,DmNAT1
EOG8PCCD5,LOC105837817,LOC725346,FBpp0087558,Transporter
EOG8PCCD5,LOC105837817,LOC725346,FBpp0087080,Transporter
EOG8PCCD5,LOC105837817,LOC725346,FBpp0290086,Transporter
EOG8PCCD5,LOC105837817,LOC725346,FBpp0076158,Transporter
EOG8S4R47,LOC105835075,LOC725318,FBpp0290400,"CG4984, isoform A"
EOG8W101S,LOC105836918,LOC100577002,FBpp0075156,Multiple inositol polyphosphate phosphatase 1
EOG8TF28C,LOC105836914,LOC102653718,FBpp0087951,AT23443p
EOG8RV4F7,LOC105836919,LOC552650,FBpp0289237,CG42361
EOG86HHXR,LOC105837264,LOC725149,FBpp0087978,CG2144
EOG8ZCVTK,LOC105832844,LOC409749,FBpp0078496,Mediator of RNA polymerase II transcription subunit 31
EOG8SN38R,LOC105831213,LOC413056,FBpp0087586,CG12926
EOG8SN38R,LOC105831213,LOC413056,FBpp0078439,"CG2663, isoform B"
EOG8SN38R,LOC105831213,LOC413056,FBpp0085226,CG11550
EOG8SN38R,LOC105831213,LOC413056,FBpp0087617,CG30339
EOG8SN38R,LOC105831213,LOC413056,FBpp0078953,"CG31636, isoform A"
EOG8SN38R,LOC105831213,LOC413056,FBpp0073145,CG33514
EOG8SN38R,LOC105831213,LOC413056,FBpp0099381,CG33965
EOG8SN38R,LOC105831213,LOC413056,FBpp0099382,CG33966
EOG8Z90K6,LOC105838634,LOC726451,FBpp0085575,"Cuticular protein 57A, isoform A"
EOG873RDG,LOC105836694,LOC409748,FBpp0306774,LD46328p
EOG8V18NK,LOC105829491,LOC410740,FBpp0074242,"CG15814, isoform D"
EOG8RR842,LOC105829490,LOC410739,FBpp0303192,Teneurin-m
EOG8B5QRZ,LOC105829544,LOC413425,FBpp0075818,Phosphoinositide 3-kinase
EOG805TN4,LOC105832755,LOC413754,FBpp0288419,Polycomb protein Sfmbt
EOG8RV4FW,LOC105829406,LOC726729,FBpp0080411,RE01132p
EOG8BGBHR,LOC105840594,LOC408604,FBpp0076372,LD24460p
EOG81RRGC,LOC105838373,LOC726742,FBpp0077230,Cutlet
EOG86HHZH,LOC105829040,LOC551241,FBpp0073143,RE36975p
EOG8MSFKS,LOC105829039,LOC409966,FBpp0076640,"CG8641, isoform A"
EOG86Q8DR,LOC105829835,LOC410732,FBpp0072366,3-phosphoinositide-dependent protein kinase 1 (2.7.11.1)
EOG844N6N,LOC105835090,LOC408602,FBpp0310920,"Myocardin-related transcription factor, isoform H"
EOG86Q8F9,LOC105831925,LOC409607,FBpp0070396,EG:25E8.2 protein
EOG8XWHJQ,LOC105831920,LOC409606,FBpp0303300,"CG43736, isoform G"
EOG86Q8DK,LOC105831921,LOC413467,FBpp0081533,GM08204p
EOG8QZ972,LOC105831922,LOC413468,FBpp0088499,Protein ariadne-1
EOG8QZ972,LOC105831922,LOC413468,FBpp0076010,AT17761p
EOG88SJFC,LOC105835183,LOC409924,FBpp0070944,"CG3168, isoform A"
EOG81C8JP,LOC105834200,LOC409925,FBpp0071248,Downstream of RAF (2.7.12.2)
EOG85TFB6,LOC105834894,LOC409926,FBpp0076238,CG5012
EOG8HB06V,LOC105834891,LOC409927,FBpp0076891,"CG1486, isoform A"
EOG8SN3B0,LOC105834893,LOC107963982,FBpp0076919,Protein tweety
EOG8SN3B0,LOC105834893,LOC107963982,FBpp0303238,Protein tweety-2
EOG8CJX4C,LOC105829316,LOC413357,FBpp0072276,SD14156p
EOG8M3BXB,LOC105836697,LOC551581,FBpp0076282,GH11113p
EOG81C8J3,LOC105834736,LOC409078,FBpp0303953,"CG13288, isoform C"
EOG87SV1V,LOC105834735,LOC412114,FBpp0087061,"CG8830, isoform A"
EOG8SQZJK,LOC105827753,LOC726541,FBpp0300535,"Myosin binding subunit, isoform H"
EOG89W431,LOC105827755,LOC102654365,FBpp0083969,Glu-AdT subunit B (6.3.5.-)
EOG8PZKX7,LOC105829484,LOC727186,FBpp0099388,CG33977
EOG8HHQPW,LOC105829731,LOC409340,FBpp0088191,"Rad23, isoform B"
EOG8HHQPW,LOC105829731,LOC409340,FBpp0083927,AT15685p
EOG8MCZMH,LOC105832415,LOC409114,FBpp0071794,"ATP synthase subunit alpha, mitochondrial"
EOG83R57V,LOC105832585,LOC411572,FBpp0079650,Ubiquitin carboxyl-terminal hydrolase (3.4.19.12)
EOG8FTXNN,LOC105834047,LOC410157,FBpp0078376,RH23273p
EOG8G7DNZ,LOC105834043,LOC725383,FBpp0306998,60S ribosomal protein L38
EOG8XH1MC,LOC105834041,LOC727267,FBpp0071873,CG3085
EOG8XD5D7,LOC105829154,LOC412410,FBpp0071288,CG7246
EOG85DZ9B,LOC105837553,LOC413488,FBpp0112228,Protein vav
EOG8H1CHX,LOC105837556,LOC724985,FBpp0070658,Torsin-like protein
EOG83N937,LOC105837558,LOC413486,FBpp0088809,"CG3566, isoform D"
EOG83N937,LOC105837558,LOC413486,FBpp0080542,"CG6870, isoform A"
EOG83N937,LOC105837558,LOC413486,FBpp0075245,CG5157
EOG83N937,LOC105837558,LOC413486,FBpp0087979,Cytochrome b5
EOG83N937,LOC105837657,LOC413486,FBpp0088809,"CG3566, isoform D"
EOG83N937,LOC105837657,LOC413486,FBpp0080542,"CG6870, isoform A"
EOG83N937,LOC105837657,LOC413486,FBpp0075245,CG5157
EOG83N937,LOC105837657,LOC413486,FBpp0087979,Cytochrome b5
EOG8MPKBB,LOC105837555,LOC409932,FBpp0073761,RH65810p
EOG8CRNMN,LOC105837561,LOC413484,FBpp0083200,CG31216
EOG8G4JCK,LOC105837562,LOC552599,FBpp0082591,IP02321p
EOG870W5B,LOC105837560,LOC725740,FBpp0072116,RE30975p
EOG8WHB72,LOC105830681,LOC412195,FBpp0070431,SD20045p
EOG8KH4H1,LOC105838549,LOC409701,FBpp0073986,Dpr18
EOG8SN3B8,LOC105837832,Crzr,FBpp0303102,"Corazonin receptor, isoform B"
EOG85TF9W,LOC105837833,LOC412813,FBpp0072491,Dpr20
EOG8M0GPT,LOC105831325,LOC725189,FBpp0072538,Protein bric-a-brac 1
EOG8M0GPT,LOC105831325,LOC725189,FBpp0072535,Protein bric-a-brac 2
EOG8J12X3,LOC105831324,LOC408600,FBpp0074937,Calcium binding EF-hand protein
EOG8H73ZP,LOC105829156,LOC408598,FBpp0087292,"Skiff, isoform A"
EOG8KM0QX,LOC105836274,LOC410730,FBpp0074192,LD21896p
EOG8NS4ZT,LOC105836276,LOC408597,FBpp0077073,"CG3294, isoform B"
EOG8BVTG4,LOC105828901,LOC410729,FBpp0083169,CG3734
EOG8BVTG4,LOC105828901,LOC410729,FBpp0083170,RE11624p
EOG8BVTG4,LOC105828901,LOC410729,FBpp0308297,CG3739
EOG8B8M1J,LOC105828899,LOC725576,FBpp0071269,CG12121
EOG8B8M1J,LOC105832336,LOC725576,FBpp0071269,CG12121
EOG8MCZNS,LOC105828415,LOC551385,FBpp0074671,Neurocalcin homolog
EOG8MCZNS,LOC105828415,LOC551385,FBpp0074319,Frequenin-1
EOG8MCZNS,LOC105828415,LOC551385,FBpp0074320,FI18190p1
EOG84N0FQ,LOC105830072,LOC102654014,FBpp0099795,CG9960
EOG8RR84J,LOC105834519,LOC100578653,FBpp0079501,LD38710p
EOG818D8R,LOC105832196,LOC410115,FBpp0076460,Actin-related protein 3
EOG8PG7PQ,LOC105832195,LOC410116,FBpp0076407,"CG7927, isoform B"
EOG8M0GQ9,LOC105832197,LOC102654555,FBpp0076155,"CG3408, isoform B"
EOG8P2RPV,LOC105840257,LOC413907,FBpp0310151,"CG44836, isoform F"
EOG8P2RPV,LOC105832551,LOC413907,FBpp0310151,"CG44836, isoform F"
EOG81K10W,LOC105829038,LOC409755,FBpp0073278,"ADP,ATP carrier protein"
EOG81K10W,LOC105829038,LOC409755,FBpp0073281,ADP/ATP translocase
EOG81K10W,LOC105829038,LOC409755,FBpp0074562,GH23568p
EOG8CRNM4,LOC105832707,LOC724193,FBpp0076227,"Kinesin-like protein at 67A, isoform B"
EOG8257F9,LOC105832708,LOC413080,FBpp0071033,GM14286p
EOG8RV4CV,LOC105832709,LOC409756,FBpp0074278,BcDNA.GH02678
EOG88KSZ7,LOC105837130,LOC413081,FBpp0073101,F-box/WD repeat-containing protein 7
EOG8ZCVS5,LOC105837122,LOC409757,FBpp0075671,"CG10948, isoform D"
