"Gene","GeneName"
"Adar","adenosine deaminase acting on RNA"
"Ecr","ecdysone receptor isoform A"
"Y-h","yellow-h precursor"
"LOC726755","pyrokinin-like receptor 2"
"LOC551621","leucine rich repeat G protein coupled receptor"
"nAChRa1","nicotinic acetylcholine receptor alpha1 subunit"
"nAChRa4","nicotinic acetylcholine receptor alpha4 subunit precursor"
"Y-y","yellow-y precursor"
"nAChRa9","nicotinic acetylcholine receptor alpha9 subunit precursor"
"Y-e3","yellow-e3 precursor"
"nAChRb2","nicotinic acetylcholine receptor beta2 subunit"
"LOC726393","capa receptor-like GPCR"
"Burs","bursicon precursor"
"Hex70c","hexamerin 70c precursor"
"Hex110","hexamerin 110 precursor"
"Foxp","FoxP protein"
"Pban","PBAN-type neuropeptides precursor"
"Hex70a","hexamerin 70a precursor"
"Dsx","doublesex isoform M"
"LOC724886","uncharacterized protein LOC724886"
"LOC410795","trehalase precursor"
"LOC551408","uncharacterized protein LOC551408"
"SIFR","SIFamide receptor"
"Tret1","facilitated trehalose transporter Tret1"
"Eyg","eyegone"
"A4","apolipophorin-III-like protein precursor"
"Msx","homeobox protein H17"
"Dcr-1","endoribonuclease Dicer-1"
"LOC410337","venom dipeptidyl peptidase 4 precursor"
"Est-6","venom carboxylesterase-6 precursor"
"Dll","distal-less"
"H","hairless"
"LOC408474","apyrase precursor"
"LOC100187599","uncharacterized protein LOC100187599"
"Nrk1","nicotinamide riboside kinase"
"LOC409389","ubiquitin specific protease-like"
"LOC100188904","uncharacterized protein LOC100188904"
"LOC100188940","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4"
"Fem","feminizer"
"Gat-a","GABA neurotransmitter transporter-1A"
"Pcl","citrate synthase-like"
"Rnft2","ring finger protein, transmembrane 2"
"Or2","odorant receptor 2"
"LOC406105","esterase A2"
"Pkc","protein kinase C"
"Gfat2","glutamine:fructose-6-phosphate aminotransferase 1"
"Camkii","calcium/calmodulin-dependent protein kinase II"
"Cryl1","lambda crystallin-like protein"
"Rpl39","ribosomal protein L39"
"Rpl41","ribosomal protein L41"
"LOC725609","heat shock factor binding protein 1-like"
"Fibroin1","silk fibroin 1 precursor"
"Fibroin2","silk fibroin 2 precursor"
"Fibroin3","silk fibroin 3 precursor"
"Fibroin4","silk fibroin 4 precursor"
"Emc","extra macrochaetae"
"LOC552484","uncharacterized protein LOC552484"
"Tmem98","transmembrane protein 98"
"Syt20","synaptotagmin 20"
"Eth","ecdysis triggering hormone preproprotein"
"LOC726134","carboxylesterase"
"Grp","glycine-rich cuticle protein"
"GstS4","glutathione S-transferase S4"
"LOC100217360","uncharacterized protein LOC100217360"
"Crzr","corazonin receptor"
"C1q-VP","C1q-like venom protein precursor"
"Syt1","synaptotagmin 1"
"NLG-3","neuroligin 3 precursor"
"NLG-4","neuroligin 4 precursor"
"Dat","dopamine transporter"
"NLG-5","neuroligin 5"
"Nrx-1","neurexin 1 precursor"
"LOC410451","venom serine carboxypeptidase precursor"
"Hsc70-5","heat shock protein cognate 5"
"Hsc70-4","heat shock protein cognate 4"
"Hsc70-3","heat shock protein cognate 3 precursor"
"Hsp90","heat shock protein 90"
"LOC410620","heat shock protein Hsp70Ab-like"
"GstS1","glutathione S-transferase S1"
"Calpb","calpain-B"
"Smb","small ribonucleoprotein particle protein B"
"LOC100302106","uncharacterized protein LOC100302106"
"Ndufs5","NADH dehydrogenase [ubiquinone] iron-sulfur protein 5"
"Tom7","translocase of outer membrane 7"
"Pten","phosphatase and tensin-like"
"Err","estrogen-related receptor"
"Ndufb2","NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa"
"cact1","NF-kappa-B inhibitor cactus 1"
"B-gluc1","gram-negative bacteria-binding protein 1-2 precursor"
"PGRP-S3","peptidoglycan-recognition protein SA precursor"
"Pgrp-s2","peptidoglycan-recognition protein S2 precursor"
"Imd","immune deficiency"
"LOC551571","pyrokinin-like receptor 1"
"Pet117","cytochrome c oxidase assembly factor-like"
"Lin-52","lin-52 protein"
"Cac","voltage-dependent calcium channel type A subunit alpha-1"
"Para","sodium channel protein paralytic"
"aub","aubergine"
"Apime-ASTA","allatostatins precursor"
"NPF","neuropeptide Y-like"
"LOC409314","prohormone-2 precursor"
"CPR19","cuticular protein 19 precursor"
"Snf","U1 small nuclear ribonucleoprotein A"
"Cdk5","cyclin-dependent kinase 5"
"Ubx","ultrabithorax"
"Adk1","adenylate kinase 1"
"Tpx-4","peroxiredoxin-like protein"
"GlnS","glutamine synthetase"
"Dnmt1a","DNA methyltransferase 1a"
"5-HT1","serotonin receptor"
"Cpap3-b","cuticular protein analogous to peritrophins 3-B precursor"
"Cpap3-d","cuticular protein analogous to peritrophins 3-D precursor"
"Cpap3-c","cuticular protein analogous to peritrophins 3-C precursor"
"Cox6b1","cytochrome c oxidase subunit VIb polypeptide 1"
"Ndufs1","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial"
"Cox6c","cytochrome c oxidase subunit 6C"
"LOC725372","uncharacterized protein LOC725372"
"LOC100379261","uncharacterized protein LOC100379261"
"LOC726031","uncharacterized protein LOC726031 precursor"
"LOC409002","cuticular protein precursor"
"LOC724464","cuticular protein precursor"
"LOC725089","cuticular protein precursor"
"RpL35","ribosomal protein L35"
"LOC727145","apidermin-like precursor"
"apd-3","apidermin 3 precursor"
"CytC","cytochrome c"
"ILP-2","insulin-like peptide 2"
"Gtpx1","glutathione peroxidase-like 1"
"Tpx-3","thioredoxin peroxidase 3 isoform 2"
"Trxr-1","thioredoxin reductase 1 isoform 1"
"Sod1","superoxide dismutase 1"
"GstD1","glutathione S-transferase D1"
"MsrA","methionine sulphoxide reductase A"
"Sod2","superoxide dismutase 2, mitochondrial"
"Coq7","ubiquinone biosynthesis protein COQ7"
"Cat","catalase"
"LOC551163","LMBR1 domain-containing protein 2 homolog"
"BBIP1","BBSome-interacting protein 1-like"
"mRpL16","39S ribosomal protein L16, mitochondrial"
"arm","armadillo segment polarity protein"
"RpLP1","60S acidic ribosomal protein P1"
"Arp1","actin related protein 1"
"Dnmt3","DNA methyltransferase 3"
"Uqcr11","cytochrome b-c1 complex subunit 10"
"LOC411983","uncharacterized protein LOC411983"
"LOC412986","uncharacterized protein LOC412986"
"Eif4g","eukaryotic translation initiation factor 4 gamma"
"FAR1","fatty acyl-CoA reductase 1"
"5-HT2alpha","serotonin receptor"
"5-HT2beta","serotonin receptor"
"Nedd9","enhancer of filamentation 1"
"CYP6AQ1","cytochrome P450 6AQ1"
"RCC1","regulator of chromosome condensation"
"Gstcd","glutathione S-transferase C-terminal domain-containing protein"
"Jtb","protein JTB"
"LOC100578482","zinc finger protein 629-like"
"PIH1D1","PIH1 domain-containing protein 1"
"ACSF2","acyl-CoA synthetase family member 2, mitochondrial precursor"
"Tpcn1","two pore calcium channel protein 1"
"Prpf3","U4/U6 small nuclear ribonucleoprotein Prp3"
"LOC724541","peroxidase"
"INTS8","integrator complex subunit 8"
"LOC409697","filamin-like"
"LOC552665","quinone oxidoreductase-like protein 2-like"
"Tg","transglutaminase"
"LOC408324","T-cell immunomodulatory protein precursor"
"LOC727144","tether containing UBX domain for GLUT4"
"ecd","protein SGT1 homolog ecdysoneless"
"STT3B","STT3, subunit of the oligosaccharyltransferase complex, homolog B"
"WRNexo","Werner Syndrome-like exonuclease"
"LOC726239","putative lipoyltransferase 2, mitochondrial"
"UHRF1","E3 ubiquitin-protein ligase UHRF1"
"CUTA","protein CutA homolog precursor"
"MARCH6","E3 ubiquitin-protein ligase MARCH6"
"LOC409699","26S proteasome non-ATPase regulatory subunit 1-like"
"Chmp1","chromatin modifying protein 1"
"KAT2A","histone acetyltransferase KAT2A"
"Rps14","40S ribosomal protein S14"
"PDHB","pyruvate dehydrogenase E1 component subunit beta, mitochondrial"
"Cdc37","hsp90 co-chaperone Cdc37"
"Brd7","bromodomain-containing protein 7 isoform 1"
"Ing3","inhibitor of growth protein 3"
"LOC100578262","uncharacterized protein LOC100578262"
"Ube2g1","ubiquitin-conjugating enzyme E2 G1"
"Eif3h","eukaryotic translation initiation factor 3 subunit H"
"Rpn1","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1"
"LOC726770","caskin-1-like"
"LOC725187","putative fatty acyl-CoA reductase CG8306-like"
"Vamp7","vesicle-associated membrane protein 7"
"Ets97D-like","DNA-binding protein Ets97D homolog"
"Ppib","peptidyl-prolyl cis-trans isomerase B precursor"
"Rfwd3","E3 ubiquitin-protein ligase RFWD3"
"Slc35b1","solute carrier family 35 member B1"
"egh","beta-1,4-mannosyltransferase egh"
"LOC724300","uncharacterized protein LOC724300"
"osp","protein outspread"
"LOC726880","pancreatic lipase-related protein 2-like"
"Sergef","secretion regulating guanine nucleotide exchange factor"
"LOC411721","uncharacterized protein LOC411721"
"LOC551434","selenium-binding protein 1-like"
"ATP5G2","ATP synthase lipid-binding protein, mitochondrial"
"Or4","odorant receptor 4"
"Or5","odorant receptor 5"
"Or9","odorant receptor 9"
"Or10","odorant receptor 10"
"Or11","odorant receptor 11"
"Or12","odorant receptor 12"
"Or13","odorant receptor 13"
"Or14","odorant receptor 14"
"Or19","odorant receptor 19"
"Or25","odorant receptor 25"
"Or26","odorant receptor 26"
"Or27","odorant receptor 27"
"Or30","odorant receptor 30"
"Or35","odorant receptor 35"
"Or37","odorant receptor 37"
"Or41","odorant receptor 41"
"Or50","odorant receptor 50"
"Or51","odorant receptor 51"
"Or52","odorant receptor 52"
"Or53","odorant receptor 53"
"Or55","odorant receptor 55"
"Or56","odorant receptor 56"
"Or57","odorant receptor 57"
"Or58","odorant receptor 58"
"SPG11","spatacsin"
"Or63","odorant receptor 63"
"Or98","odorant receptor 98"
"Or105","odorant receptor 105"
"Or107","odorant receptor 107"
"Or109","odorant receptor 109"
"Or115","odorant receptor 115"
"Or131","odorant receptor 131"
"Or130","odorant receptor 130"
"Or170","odorant receptor 170"
"Gr10","gustatory receptor 10"
"CTL5","C-type lectin 5 precursor"
"LOC411317","uncharacterized protein LOC411317 precursor"
"LOC100642173","uncharacterized protein LOC100642173 precursor"
"LOC100578542","uncharacterized protein LOC100578542 precursor"
"InR-2","insulin-like receptor-like"
"LOC100820634","potassium voltage-gated channel protein eag-like"
"Kr","protein krueppel"
"Hb","protein hunchback"
"eve","segmentation protein even-skipped"
"cad","homeotic protein caudal"
"otd2","uncharacterized protein LOC551357"
"Reck","reversion-inducing-cysteine-rich protein with kazal motifs"
"Nipped-B","nipped-B protein precursor"
"LOC724290","uncharacterized protein LOC724290"
"PHRF1","PHD and ring finger domains 1"
"LOC100578205","uncharacterized protein LOC100578205"
"brp","bruchpilot"
"LOC100859932","uncharacterized protein LOC100859932"
"tra2","transformer-2 sex-determining protein"
"CPR14","cuticular protein 14 precursor"
"CPR22","cuticular protein 22 precursor"
"CPR21","cuticular protein 21 precursor"
"CPR1","cuticular protein 1 precursor"
"CPR2","cuticular protein 2 precursor"
"CPR3","cuticular protein 3 precursor"
"CPR4","cuticular protein 4 precursor"
"CPR5","cuticular protein 5"
"CPR6","cuticular protein 6 precursor"
"CPR11","cuticular protein 11 precursor"
"CPR12","cuticular protein 12 precursor"
"CPR13","cuticular protein 13 precursor"
"CPR16","cuticular protein 16 precursor"
"CPR17","cuticular protein 17 precursor"
"CPR18","cuticular protein 18 precursor"
"CPR27","cuticular protein 27 precursor"
"CPR28","cuticular protein 28 precursor"
"CPF1","cuticular protein CPF1 precursor"
"CPF2","cuticular protein CPF2 isoform 1 precursor"
"DHRS4","dehydrogenase/reductase SDR family member 4"
"LOC410331","transcription elongation factor SPT6-like"
"LOC552738","2-hydroxyacyl-CoA lyase 1-like"
"LOC408316","uncharacterized protein LOC408316"
"LOC726294","orcokinin peptides precursor"
"Syx1A","syntaxin 1A"
"Rga","regulator of gene activity protein"
"LOC551635","uncharacterized protein LOC551635 precursor"
"rtGEF","rho-type guanine exchange factor"
"Rep","Rab escort protein"
"LOC412643","uncharacterized protein LOC412643"
"LOC551304","selenoprotein K-like"
"LOC100577883","cytochrome P450 4aa1-like"
"LOC101664701","PI-PLC X domain-containing protein 1-like precursor"
"ROCK2","Rho-associated, coiled-coil containing protein kinase 2"
"LOC551420","protein O-mannosyltransferase 1-like"
"LOC101664702","PI-PLC X domain-containing protein 1-like precursor"
"LOC100576447","DNA damage-regulated autophagy modulator protein 2-like"
"LOC413108","pre-mRNA-processing factor 40 homolog A-like"
"LOC552232","ADP-ribosylation factor-like protein 2-binding protein-like"
"LOC100578439","chascon-like"
"LOC552716","metallophosphoesterase 1 homolog"
"LOC725821","uncharacterized LOC725821"
"LOC552729","neuroguidin-A-like"
"LOC413527","neuromedin-U receptor 1-like"
"Grd","GABA-gated ion channel"
"LOC550684","uncharacterized protein LOC550684"
"TpnCIIIa","troponin C type IIIa"
"LOC100577376","voltage-dependent calcium channel subunit alpha-2/delta-3-like precursor"
"LOC726419","beta-1,3-galactosyltransferase"
"ND2","NADH dehydrogenase subunit 2 (mitochondrion)"
"COX1","cytochrome c oxidase subunit I (mitochondrion)"
"COX2","cytochrome c oxidase subunit II (mitochondrion)"
"ATP8","ATP synthase F0 subunit 8 (mitochondrion)"
"ATP6","ATP synthase F0 subunit 6 (mitochondrion)"
"COX3","cytochrome c oxidase subunit III (mitochondrion)"
"ND3","NADH dehydrogenase subunit 3 (mitochondrion)"
"ND5","NADH dehydrogenase subunit 5 (mitochondrion)"
"ND4","NADH dehydrogenase subunit 4 (mitochondrion)"
"ND4L","NADH dehydrogenase subunit 4L (mitochondrion)"
"ND6","NADH dehydrogenase subunit 6 (mitochondrion)"
"CYTB","cytochrome b (mitochondrion)"
"ND1","NADH dehydrogenase subunit 1 (mitochondrion)"
"LOC724626","PREDICTED: uncharacterized protein LOC724626"
"LOC724756","PREDICTED: uncharacterized protein LOC724756"
"LOC724142","PREDICTED: 60S ribosomal protein L24"
"LOC724113","PREDICTED: uncharacterized protein LOC724113"
"LOC724187","PREDICTED: toll-like receptor 4"
"LOC724275","PREDICTED: uncharacterized protein LOC724275"
"LOC724450","PREDICTED: uncharacterized protein LOC724450"
"LOC724114","PREDICTED: uncharacterized protein LOC724114"
"LOC724407","PREDICTED: stress-associated endoplasmic reticulum protein 2"
"LOC724115","PREDICTED: phospholipase DDHD1-like"
"LOC724123","PREDICTED: translation initiation factor eIF-2B subunit delta"
"LOC724126","PREDICTED: uncharacterized protein LOC724126"
"LOC724138","PREDICTED: igLON family member 5-like"
"LOC724140","PREDICTED: D-tagatose-1,6-bisphosphate aldolase subunit GatY-like, partial"
"LOC724580","PREDICTED: uncharacterized protein LOC724580"
"LOC725033","PREDICTED: uncharacterized protein LOC725033"
"LOC724487","PREDICTED: 28 kDa heat- and acid-stable phosphoprotein-like"
"LOC724274","PREDICTED: protein lethal(2)essential for life-like"
"LOC724188","PREDICTED: protein transport protein Sec61 subunit beta"
"LOC724794","PREDICTED: multifunctional methyltransferase subunit TRM112-like protein"
"LOC725314","PREDICTED: translocon-associated protein subunit gamma-like"
"LOC724677","PREDICTED: probable malate dehydrogenase, mitochondrial"
"LOC724326","PREDICTED: peptidyl-prolyl cis-trans isomerase"
"LOC724408","PREDICTED: ras-related GTP-binding protein A"
"LOC724678","PREDICTED: histone H2A-like"
"LOC724144","PREDICTED: enhancer of rudimentary homolog"
"LOC724148","PREDICTED: homeobox protein MSX-2"
"LOC724150","PREDICTED: B-cell lymphoma/leukemia 11B"
"LOC724151","PREDICTED: programmed cell death protein 2"
"LOC724152","PREDICTED: uncharacterized protein LOC724152"
"LOC724154","PREDICTED: SHC SH2 domain-binding protein 1 homolog B"
"LOC724156","PREDICTED: transcription factor Sp8-like"
"LOC724158","PREDICTED: mitotic spindle assembly checkpoint protein MAD2B"
"LOC724160","PREDICTED: uncharacterized protein LOC724160"
"LOC724161","PREDICTED: guanine nucleotide-binding protein-like 3 homolog"
"LOC724164","PREDICTED: 39S ribosomal protein L30, mitochondrial"
"LOC724166","PREDICTED: intraflagellar transport protein 20 homolog"
"LOC724175","PREDICTED: probable cytochrome P450 304a1"
"LOC724176","PREDICTED: uncharacterized protein LOC724176"
"LOC724178","PREDICTED: uncharacterized protein LOC724178"
"LOC724625","PREDICTED: DNA-directed RNA polymerases I, II, and III subunit RPABC5"
"LOC724365","PREDICTED: ragulator complex protein LAMTOR4 homolog"
"LOC724717","PREDICTED: uncharacterized protein LOC724717"
"LOC725076","PREDICTED: CCHC-type zinc finger protein CG3800"
"LOC724453","PREDICTED: serine/threonine-protein kinase PAK 3"
"LOC724901","PREDICTED: bleomycin hydrolase"
"LOC725315","PREDICTED: uncharacterized protein LOC725315"
"LOC724192","PREDICTED: titin-like"
"LOC724193","PREDICTED: kinesin-like protein KIF18A"
"LOC724195","PREDICTED: B-cell receptor CD22"
"LOC724196","PREDICTED: retinal homeobox protein Rx1"
"LOC724197","PREDICTED: uncharacterized protein LOC724197"
"LOC724201","PREDICTED: uncharacterized protein LOC724201"
"LOC724203","PREDICTED: ribosome biogenesis protein BRX1 homolog"
"LOC724205","PREDICTED: protein AF-9"
"LOC724206","PREDICTED: TBC1 domain family member 31"
"LOC724211","PREDICTED: cytochrome P450 9e2"
"LOC724212","PREDICTED: 60 kDa SS-A/Ro ribonucleoprotein-like"
"LOC724216","PREDICTED: juvenile hormone acid O-methyltransferase"
"LOC724223","PREDICTED: hamartin"
"LOC724225","PREDICTED: sex peptide receptor-like"
"LOC724227","PREDICTED: synaptic vesicle glycoprotein 2B-like"
"LOC724229","PREDICTED: uncharacterized protein LOC724229, partial"
"LOC724486","PREDICTED: probable N-acetyltransferase san"
"LOC724791","PREDICTED: vitamin K epoxide reductase complex subunit 1-like protein 1"
"LOC724367","PREDICTED: protein lethal(2)essential for life-like"
"LOC725101","PREDICTED: uncharacterized protein LOC725101"
"LOC724489","PREDICTED: ubiquitin-like protein 5"
"LOC724532","PREDICTED: eukaryotic translation initiation factor 1A, X-chromosomal"
"LOC725102","PREDICTED: protein dpy-30 homolog"
"LOC724869","PREDICTED: histone H2B-like"
"LOC724451","PREDICTED: FAD-linked sulfhydryl oxidase ALR"
"LOC724493","PREDICTED: 50S ribosomal protein L1"
"LOC724831","PREDICTED: uncharacterized protein LOC724831"
"LOC725573","PREDICTED: uncharacterized protein LOC725573"
"LOC724494","PREDICTED: methionine-R-sulfoxide reductase B1"
"LOC724873","PREDICTED: ras-related protein Rab-7a"
"LOC724236","PREDICTED: chymotrypsin-like protease CTRL-1"
"LOC724237","PREDICTED: prostaglandin E2 receptor EP2 subtype"
"LOC724239","PREDICTED: kynurenine/alpha-aminoadipate aminotransferase, mitochondrial-like"
"LOC724240","PREDICTED: flap endonuclease GEN"
"LOC724241","PREDICTED: N-alpha-acetyltransferase 38-B, NatC auxiliary subunit"
"LOC724242","PREDICTED: protein neuralized"
"LOC724244","PREDICTED: structural maintenance of chromosomes protein 5"
"LOC724246","PREDICTED: growth/differentiation factor 2-like"
"LOC724247","PREDICTED: rRNA methyltransferase 3, mitochondrial"
"LOC724250","PREDICTED: venom protease"
"LOC724252","PREDICTED: homeotic protein deformed"
"LOC724260","PREDICTED: NAD kinase 2, mitochondrial-like"
"LOC724262","PREDICTED: peroxisome biogenesis factor 10"
"LOC724264","PREDICTED: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7-like"
"LOC724267","PREDICTED: ribosomal RNA-processing protein 7 homolog A"
"LOC724269","PREDICTED: connectin"
"LOC724829","PREDICTED: immediate early response 3-interacting protein 1"
"LOC725184","PREDICTED: gamma-aminobutyric acid receptor-associated protein"
"LOC725144","PREDICTED: uncharacterized protein LOC725144"
"LOC724872","PREDICTED: uncharacterized protein LOC724872"
"LOC724280","PREDICTED: UPF0545 protein C22orf39 homolog"
"LOC724282","PREDICTED: homeobox protein orthopedia"
"LOC724283","PREDICTED: Niemann-Pick C1 protein-like"
"LOC724287","PREDICTED: rhomboid-related protein 3-like"
"LOC724288","PREDICTED: gem-associated protein 5"
"LOC724296","PREDICTED: DNA mismatch repair protein Mlh1"
"LOC724297","PREDICTED: uncharacterized protein LOC724297"
"LOC724301","PREDICTED: paired mesoderm homeobox protein 2-like"
"LOC724306","PREDICTED: uncharacterized protein C15orf41 homolog"
"LOC724307","PREDICTED: paired mesoderm homeobox protein 2-like"
"LOC724308","PREDICTED: trypsin-1"
"LOC724310","PREDICTED: uncharacterized protein LOC724310"
"LOC724312","PREDICTED: vanin-like protein 1"
"LOC724319","PREDICTED: netrin-1-like, partial"
"LOC725272","PREDICTED: histone H3"
"LOC725565","PREDICTED: nitric oxide synthase-interacting protein homolog"
"LOC724449","PREDICTED: protein lethal(2)essential for life-like"
"LOC725038","PREDICTED: protein NPC2 homolog"
"LOC724676","PREDICTED: ADP-ribosylation factor-like protein 1"
